From	To	Species	Gene Name
PCSK1	5122	Homo sapiens	proprotein convertase subtilisin/kexin type 1
DGKB	1607	Homo sapiens	diacylglycerol kinase, beta 90kDa
DGKE	8526	Homo sapiens	diacylglycerol kinase, epsilon 64kDa
DGKD	8527	Homo sapiens	diacylglycerol kinase, delta 130kDa
DGKG	1608	Homo sapiens	diacylglycerol kinase, gamma 90kDa
PLA2G12A	81579	Homo sapiens	phospholipase A2, group XIIA
PLA2G12B	84647	Homo sapiens	phospholipase A2, group XIIB
PCSK9	255738	Homo sapiens	proprotein convertase subtilisin/kexin type 9
PCSK7	9159	Homo sapiens	proprotein convertase subtilisin/kexin type 7 pseudogene; proprotein convertase subtilisin/kexin type 7
PCSK7	653303	Homo sapiens	proprotein convertase subtilisin/kexin type 7 pseudogene; proprotein convertase subtilisin/kexin type 7
ZNF268	10795	Homo sapiens	zinc finger protein 268
PCSK6	5046	Homo sapiens	proprotein convertase subtilisin/kexin type 6
PCSK5	5125	Homo sapiens	proprotein convertase subtilisin/kexin type 5
ZNF266	10781	Homo sapiens	zinc finger protein 266
PCSK4	54760	Homo sapiens	proprotein convertase subtilisin/kexin type 4
ZNF267	10308	Homo sapiens	zinc finger protein 267
ZNF263	10127	Homo sapiens	zinc finger protein 263
HAPLN2	60484	Homo sapiens	hyaluronan and proteoglycan link protein 2
HAPLN1	1404	Homo sapiens	hyaluronan and proteoglycan link protein 1
CMTM1	113540	Homo sapiens	CKLF-like MARVEL transmembrane domain containing 1
HAPLN4	404037	Homo sapiens	hyaluronan and proteoglycan link protein 4
DGKQ	1609	Homo sapiens	diacylglycerol kinase, theta 110kDa
ZNF264	9422	Homo sapiens	zinc finger protein 264
HAPLN3	145864	Homo sapiens	hyaluronan and proteoglycan link protein 3
CMTM2	146225	Homo sapiens	CKLF-like MARVEL transmembrane domain containing 2
NUB1	51667	Homo sapiens	negative regulator of ubiquitin-like proteins 1
ZNF260	339324	Homo sapiens	zinc finger protein 260
ELAVL1	1994	Homo sapiens	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)
ELAVL2	1993	Homo sapiens	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)
DGKH	160851	Homo sapiens	diacylglycerol kinase, eta
DGKI	9162	Homo sapiens	diacylglycerol kinase, iota
ELAVL3	1995	Homo sapiens	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)
CELA1	1990	Homo sapiens	chymotrypsin-like elastase family, member 1
ELAVL4	1996	Homo sapiens	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)
P2RY12	64805	Homo sapiens	purinergic receptor P2Y, G-protein coupled, 12
P2RY13	53829	Homo sapiens	purinergic receptor P2Y, G-protein coupled, 13
ORM1	5004	Homo sapiens	orosomucoid 1
MPHOSPH9	10198	Homo sapiens	M-phase phosphoprotein 9
P2RY10	27334	Homo sapiens	purinergic receptor P2Y, G-protein coupled, 10
P2RY14	9934	Homo sapiens	purinergic receptor P2Y, G-protein coupled, 14
CMTM8	152189	Homo sapiens	CKLF-like MARVEL transmembrane domain containing 8
ZNF259	8882	Homo sapiens	zinc finger protein 259
DGKZ	8525	Homo sapiens	diacylglycerol kinase, zeta 104kDa
CMTM7	112616	Homo sapiens	CKLF-like MARVEL transmembrane domain containing 7
CMTM4	146223	Homo sapiens	CKLF-like MARVEL transmembrane domain containing 4
MPHOSPH6	10200	Homo sapiens	M-phase phosphoprotein 6
CMTM3	123920	Homo sapiens	CKLF-like MARVEL transmembrane domain containing 3
ZNF256	10172	Homo sapiens	zinc finger protein 256
ZNF257	113835	Homo sapiens	zinc finger protein 257
CMTM6	54918	Homo sapiens	CKLF-like MARVEL transmembrane domain containing 6
ORM2	5005	Homo sapiens	orosomucoid 2
MPHOSPH8	54737	Homo sapiens	M-phase phosphoprotein 8
TRIT1	54802	Homo sapiens	tRNA isopentenyltransferase 1
CMTM5	116173	Homo sapiens	CKLF-like MARVEL transmembrane domain containing 5
EIF6	3692	Homo sapiens	eukaryotic translation initiation factor 6
GNPTG	84572	Homo sapiens	N-acetylglucosamine-1-phosphate transferase, gamma subunit
TSPAN1	10103	Homo sapiens	tetraspanin 1
TSPAN2	10100	Homo sapiens	tetraspanin 2
TSPAN3	10099	Homo sapiens	tetraspanin 3
TSPAN4	7106	Homo sapiens	tetraspanin 4
STYX	6815	Homo sapiens	serine/threonine/tyrosine interacting protein
TSPAN5	10098	Homo sapiens	tetraspanin 5
EIF5	1983	Homo sapiens	eukaryotic translation initiation factor 5
TSPAN6	7105	Homo sapiens	tetraspanin 6
TNFSF15	9966	Homo sapiens	tumor necrosis factor (ligand) superfamily, member 15
TNFSF14	8740	Homo sapiens	tumor necrosis factor (ligand) superfamily, member 14
TSPAN7	7102	Homo sapiens	tetraspanin 7
TSPAN8	7103	Homo sapiens	tetraspanin 8
TSPAN9	10867	Homo sapiens	tetraspanin 9
TNFSF12	8741	Homo sapiens	TNFSF12-TNFSF13 readthrough transcript; tumor necrosis factor (ligand) superfamily, member 12; tumor necrosis factor (ligand) superfamily, member 13
TNFSF12	407977	Homo sapiens	TNFSF12-TNFSF13 readthrough transcript; tumor necrosis factor (ligand) superfamily, member 12; tumor necrosis factor (ligand) superfamily, member 13
TNFSF12	8742	Homo sapiens	TNFSF12-TNFSF13 readthrough transcript; tumor necrosis factor (ligand) superfamily, member 12; tumor necrosis factor (ligand) superfamily, member 13
TNFSF18	8995	Homo sapiens	tumor necrosis factor (ligand) superfamily, member 18
CBFB	865	Homo sapiens	core-binding factor, beta subunit
KDM1B	221656	Homo sapiens	amine oxidase (flavin containing) domain 1
OLFML1	283298	Homo sapiens	olfactomedin-like 1
KDM1A	23028	Homo sapiens	lysine (K)-specific demethylase 1
KIAA1462	57608	Homo sapiens	KIAA1462
OLFML3	56944	Homo sapiens	olfactomedin-like 3
EIF1	10209	Homo sapiens	similar to eukaryotic translation initiation factor 1; eukaryotic translation initiation factor 1
EIF1	730144	Homo sapiens	similar to eukaryotic translation initiation factor 1; eukaryotic translation initiation factor 1
INSR	3643	Homo sapiens	insulin receptor
DDOST	1650	Homo sapiens	dolichyl-diphosphooligosaccharide-protein glycosyltransferase
EDARADD	128178	Homo sapiens	EDAR-associated death domain
KIAA1467	57613	Homo sapiens	KIAA1467
KIAA1468	57614	Homo sapiens	KIAA1468
ARPC1A	10552	Homo sapiens	actin related protein 2/3 complex, subunit 1A, 41kDa
ARPC1B	10095	Homo sapiens	actin related protein 2/3 complex, subunit 1B, 41kDa; similar to Actin-related protein 2/3 complex subunit 1B (ARP2/3 complex 41 kDa subunit) (p41-ARC)
ARPC1B	653888	Homo sapiens	actin related protein 2/3 complex, subunit 1B, 41kDa; similar to Actin-related protein 2/3 complex subunit 1B (ARP2/3 complex 41 kDa subunit) (p41-ARC)
KDM2B	84678	Homo sapiens	lysine (K)-specific demethylase 2B
SGSM1	129049	Homo sapiens	small G protein signaling modulator 1
SGSM2	9905	Homo sapiens	small G protein signaling modulator 2
KDM2A	22992	Homo sapiens	lysine (K)-specific demethylase 2A
SGSM3	27352	Homo sapiens	small G protein signaling modulator 3
AKR1B10	57016	Homo sapiens	aldo-keto reductase family 1, member B10 (aldose reductase); aldo-keto reductase family 1, member B10-like
AKR1B10	441282	Homo sapiens	aldo-keto reductase family 1, member B10 (aldose reductase); aldo-keto reductase family 1, member B10-like
DCAF12L1	139170	Homo sapiens	WD repeat domain 40B
PTGFRN	5738	Homo sapiens	prostaglandin F2 receptor negative regulator
NGB	58157	Homo sapiens	neuroglobin
DCAF12L2	340578	Homo sapiens	WD repeat domain 40C
INTU	27152	Homo sapiens	inturned planar cell polarity effector homolog (Drosophila)
NGF	4803	Homo sapiens	nerve growth factor (beta polypeptide)
EID1	23741	Homo sapiens	EP300 interacting inhibitor of differentiation 1
EID2	163126	Homo sapiens	EP300 interacting inhibitor of differentiation 2
STX8	9482	Homo sapiens	syntaxin 8
STX7	8417	Homo sapiens	syntaxin 7
EID3	493861	Homo sapiens	EP300 interacting inhibitor of differentiation 3
ARPP21	10777	Homo sapiens	cyclic AMP-regulated phosphoprotein, 21 kD
CCDC90A	63933	Homo sapiens	coiled-coil domain containing 90A
CCDC90B	60492	Homo sapiens	coiled-coil domain containing 90B
NHS	4810	Homo sapiens	Nance-Horan syndrome (congenital cataracts and dental anomalies)
BRD7P3	23629	Homo sapiens	bromodomain containing 7 pseudogene 3
ZPLD1	131368	Homo sapiens	zona pellucida-like domain containing 1
ENKUR	219670	Homo sapiens	enkurin, TRPC channel interacting protein
FAM189A1	23359	Homo sapiens	KIAA0574 protein
NUMB	8650	Homo sapiens	numb homolog (Drosophila)
FAM189A2	9413	Homo sapiens	chromosome 9 open reading frame 61
PCYT1A	5130	Homo sapiens	phosphate cytidylyltransferase 1, choline, alpha
PCYT1B	9468	Homo sapiens	phosphate cytidylyltransferase 1, choline, beta
SEC61A1	29927	Homo sapiens	Sec61 alpha 1 subunit (S. cerevisiae)
SEC61A2	55176	Homo sapiens	Sec61 alpha 2 subunit (S. cerevisiae)
TRIP4	9325	Homo sapiens	thyroid hormone receptor interactor 4
NIN	51199	Homo sapiens	ninein (GSK3B interacting protein)
ARPP19	643896	Homo sapiens	cAMP-regulated phosphoprotein 19 pseudogene; cAMP-regulated phosphoprotein, 19kDa
ARPP19	10776	Homo sapiens	cAMP-regulated phosphoprotein 19 pseudogene; cAMP-regulated phosphoprotein, 19kDa
ARPP19	646227	Homo sapiens	cAMP-regulated phosphoprotein 19 pseudogene; cAMP-regulated phosphoprotein, 19kDa
MYL12B	103910	Homo sapiens	myosin, light chain 12B, regulatory
INSC	387755	Homo sapiens	inscuteable homolog (Drosophila)
MYL12A	10627	Homo sapiens	myosin, light chain 12A, regulatory, non-sarcomeric
HNRNPH3	3189	Homo sapiens	heterogeneous nuclear ribonucleoprotein H3 (2H9)
TNFSF10	8743	Homo sapiens	tumor necrosis factor (ligand) superfamily, member 10
TNFSF11	8600	Homo sapiens	tumor necrosis factor (ligand) superfamily, member 11
LOC285796	285796	Homo sapiens	hypothetical protein LOC285796
CARS2	79587	Homo sapiens	cysteinyl-tRNA synthetase 2, mitochondrial (putative)
HNRNPH1	3187	Homo sapiens	heterogeneous nuclear ribonucleoprotein H1 (H)
TRIP6	7205	Homo sapiens	thyroid hormone receptor interactor 6
ZNF208	7757	Homo sapiens	zinc finger protein 208
NBN	4683	Homo sapiens	nibrin
KDM6A	7403	Homo sapiens	lysine (K)-specific demethylase 6A
ZNF200	7752	Homo sapiens	zinc finger protein 200
ZNF202	7753	Homo sapiens	zinc finger protein 202
CARKD	55739	Homo sapiens	carbohydrate kinase domain containing
CXADR	1525	Homo sapiens	coxsackie virus and adenovirus receptor pseudogene 2; coxsackie virus and adenovirus receptor
CXADR	646243	Homo sapiens	coxsackie virus and adenovirus receptor pseudogene 2; coxsackie virus and adenovirus receptor
ZNF205	7755	Homo sapiens	zinc finger protein 205
GLB1	2720	Homo sapiens	galactosidase, beta 1
ZNF207	7756	Homo sapiens	zinc finger protein 207
TRIM4	89122	Homo sapiens	tripartite motif-containing 4
TRIM5	85363	Homo sapiens	tripartite motif-containing 5
TRIM2	23321	Homo sapiens	tripartite motif-containing 2
TRIM3	10612	Homo sapiens	tripartite motif-containing 3
TRIM8	81603	Homo sapiens	tripartite motif-containing 8
GPKOW	27238	Homo sapiens	G patch domain and KOW motifs
TRIM9	114088	Homo sapiens	tripartite motif-containing 9
TRIM6	445372	Homo sapiens	TRIM6-TRIM34 readthrough transcript; tripartite motif-containing 6; tripartite motif-containing 34
TRIM6	53840	Homo sapiens	TRIM6-TRIM34 readthrough transcript; tripartite motif-containing 6; tripartite motif-containing 34
TRIM6	117854	Homo sapiens	TRIM6-TRIM34 readthrough transcript; tripartite motif-containing 6; tripartite motif-containing 34
TRIM7	81786	Homo sapiens	tripartite motif-containing 7
LOC285768	285768	Homo sapiens	hypothetical LOC285768
S100PBP	64766	Homo sapiens	S100P binding protein
LOC729296	729296	Homo sapiens	similar to hCG2017976
LRWD1	222229	Homo sapiens	leucine-rich repeats and WD repeat domain containing 1
KDM5A	5927	Homo sapiens	lysine (K)-specific demethylase 5A
KDM5B	100133760	Homo sapiens	similar to Jumonji, AT rich interactive domain 1B (RBP2-like); lysine (K)-specific demethylase 5B
KDM5B	10765	Homo sapiens	similar to Jumonji, AT rich interactive domain 1B (RBP2-like); lysine (K)-specific demethylase 5B
KDM5C	8242	Homo sapiens	lysine (K)-specific demethylase 5C
KDM5D	8284	Homo sapiens	lysine (K)-specific demethylase 5D
HEMK1	51409	Homo sapiens	HemK methyltransferase family member 1
NUSAP1	51203	Homo sapiens	nucleolar and spindle associated protein 1
LRP2BP	55805	Homo sapiens	LRP2 binding protein
HLTF	6596	Homo sapiens	helicase-like transcription factor
NCL	4691	Homo sapiens	nucleolin
BSPRY	54836	Homo sapiens	B-box and SPRY domain containing
SCARNA17	677769	Homo sapiens	small Cajal body-specific RNA 17
ARPC5L	81873	Homo sapiens	actin related protein 2/3 complex, subunit 5-like
HORMAD1	84072	Homo sapiens	HORMA domain containing 1
HORMAD2	150280	Homo sapiens	HORMA domain containing 2
GALNT8	26290	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 8 (GalNAc-T8)
CARM1	10498	Homo sapiens	coactivator-associated arginine methyltransferase 1
GALNT9	50614	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)
PTAFR	5724	Homo sapiens	platelet-activating factor receptor
KDM6B	23135	Homo sapiens	lysine (K)-specific demethylase 6B
GALNT3	2591	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
GALNT2	2590	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)
GALNT1	2589	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13); UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)
GALNT1	114805	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13); UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)
FLJ14107	80094	Homo sapiens	hypothetical LOC80094
NDN	4692	Homo sapiens	necdin homolog (mouse)
HYLS1	219844	Homo sapiens	hydrolethalus syndrome 1
GALNT7	51809	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
GALNT6	11226	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)
GALNT5	11227	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)
NDP	4693	Homo sapiens	Norrie disease (pseudoglioma)
TYW3	127253	Homo sapiens	tRNA-yW synthesizing protein 3 homolog (S. cerevisiae)
C1QTNF9	338872	Homo sapiens	C1q and tumor necrosis factor related protein 9
ZNF204P	7754	Homo sapiens	zinc finger protein 204 pseudogene
ADAT1	23536	Homo sapiens	adenosine deaminase, tRNA-specific 1
C1QTNF7	114905	Homo sapiens	C1q and tumor necrosis factor related protein 7
ZNF512B	57473	Homo sapiens	zinc finger protein 512B
C1QTNF6	114904	Homo sapiens	C1q and tumor necrosis factor related protein 6
C1QTNF3	23600	Homo sapiens	C1q and tumor necrosis factor related protein 3; alpha-methylacyl-CoA racemase
C1QTNF3	114899	Homo sapiens	C1q and tumor necrosis factor related protein 3; alpha-methylacyl-CoA racemase
C1QTNF4	114900	Homo sapiens	C1q and tumor necrosis factor related protein 4
C1QTNF1	114897	Homo sapiens	C1q and tumor necrosis factor related protein 1
ADAT3	113179	Homo sapiens	adenosine deaminase, tRNA-specific 3, TAD3 homolog (S. cerevisiae)
ADAT2	134637	Homo sapiens	adenosine deaminase, tRNA-specific 2, TAD2 homolog (S. cerevisiae)
C1QTNF2	114898	Homo sapiens	C1q and tumor necrosis factor related protein 2
KDM3A	55818	Homo sapiens	lysine (K)-specific demethylase 3A
KDM3B	51780	Homo sapiens	lysine (K)-specific demethylase 3B
LOC285740	285740	Homo sapiens	hypothetical LOC285740
NES	10763	Homo sapiens	nestin
NF2	4771	Homo sapiens	neurofibromin 2 (merlin)
NF1	4763	Homo sapiens	neurofibromin 1
PWP2	5822	Homo sapiens	PWP2 periodic tryptophan protein homolog (yeast)
PWP1	11137	Homo sapiens	PWP1 homolog (S. cerevisiae)
LOC285758	285758	Homo sapiens	hypothetical protein LOC285758
CYP4A11	1579	Homo sapiens	cytochrome P450, family 4, subfamily A, polypeptide 11
NEB	4703	Homo sapiens	nebulin
INVS	27130	Homo sapiens	inversin
KDM4B	23030	Homo sapiens	lysine (K)-specific demethylase 4B
KDM4C	23081	Homo sapiens	lysine (K)-specific demethylase 4C
KDM4A	9682	Homo sapiens	lysine (K)-specific demethylase 4A
SLC14A1	6563	Homo sapiens	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)
KDM4D	55693	Homo sapiens	lysine (K)-specific demethylase 4D
SLC14A2	8170	Homo sapiens	solute carrier family 14 (urea transporter), member 2
ITGB3BP	23421	Homo sapiens	integrin beta 3 binding protein (beta3-endonexin)
SLC36A1	206358	Homo sapiens	solute carrier family 36 (proton/amino acid symporter), member 1
EIF2C2	27161	Homo sapiens	eukaryotic translation initiation factor 2C, 2
NOG	9241	Homo sapiens	noggin
EIF2C1	26523	Homo sapiens	eukaryotic translation initiation factor 2C, 1
HM13	81502	Homo sapiens	histocompatibility (minor) 13
FGFRL1	53834	Homo sapiens	fibroblast growth factor receptor-like 1
NOV	4856	Homo sapiens	nephroblastoma overexpressed gene
LOC645321	645321	Homo sapiens	hypothetical LOC645321
ASMTL	8623	Homo sapiens	acetylserotonin O-methyltransferase-like
EIF2B2	8892	Homo sapiens	eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa
EIF2B3	8891	Homo sapiens	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa
EIF2B4	8890	Homo sapiens	eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa
EIF2B5	8893	Homo sapiens	eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa
ISLR2	57611	Homo sapiens	immunoglobulin superfamily containing leucine-rich repeat 2
OSBP2	23762	Homo sapiens	oxysterol binding protein 2
RINT1	60561	Homo sapiens	RAD50 interactor 1
RAP1GDS1	5910	Homo sapiens	RAP1, GTP-GDP dissociation stimulator 1
NNT	23530	Homo sapiens	nicotinamide nucleotide transhydrogenase
GIGYF2	26058	Homo sapiens	GRB10 interacting GYF protein 2
EIF2C3	192669	Homo sapiens	eukaryotic translation initiation factor 2C, 3
ITGA2B	3674	Homo sapiens	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)
MPST	4357	Homo sapiens	mercaptopyruvate sulfurtransferase
EIF2C4	192670	Homo sapiens	eukaryotic translation initiation factor 2C, 4
KCNMB4	27345	Homo sapiens	potassium large conductance calcium-activated channel, subfamily M, beta member 4
FCER2	2208	Homo sapiens	Fc fragment of IgE, low affinity II, receptor for (CD23)
ITGA11	22801	Homo sapiens	integrin, alpha 11
FIGLA	344018	Homo sapiens	folliculogenesis specific basic helix-loop-helix
ITGA10	8515	Homo sapiens	integrin, alpha 10
OBFC2A	64859	Homo sapiens	oligonucleotide/oligosaccharide-binding fold containing 2A
TJAP1	93643	Homo sapiens	tight junction associated protein 1 (peripheral)
KCNMB1	3779	Homo sapiens	potassium large conductance calcium-activated channel, subfamily M, beta member 1
KCNMB2	10242	Homo sapiens	potassium large conductance calcium-activated channel, subfamily M, beta member 2
DRAP1	10589	Homo sapiens	DR1-associated protein 1 (negative cofactor 2 alpha)
PBRM1	55193	Homo sapiens	polybromo 1
AGBL2	79841	Homo sapiens	ATP/GTP binding protein-like 2
AGBL3	340351	Homo sapiens	ATP/GTP binding protein-like 3
NPB	256933	Homo sapiens	neuropeptide B
SUB1	10923	Homo sapiens	SUB1 homolog (S. cerevisiae)
AGBL5	60509	Homo sapiens	ATP/GTP binding protein-like 5
NPL	80896	Homo sapiens	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
OBFC2B	79035	Homo sapiens	oligonucleotide/oligosaccharide-binding fold containing 2B
TULP2	7288	Homo sapiens	tubby like protein 2
CBLC	23624	Homo sapiens	Cas-Br-M (murine) ecotropic retroviral transforming sequence c
TULP1	7287	Homo sapiens	tubby like protein 1
CBLB	868	Homo sapiens	Cas-Br-M (murine) ecotropic retroviral transforming sequence b
TULP4	56995	Homo sapiens	tubby like protein 4
TULP3	7289	Homo sapiens	tubby like protein 3
NPY	4852	Homo sapiens	neuropeptide Y
DCP1B	196513	Homo sapiens	DCP1 decapping enzyme homolog B (S. cerevisiae)
DCP1A	55802	Homo sapiens	DCP1 decapping enzyme homolog A (S. cerevisiae)
NPW	283869	Homo sapiens	neuropeptide W
FJX1	24147	Homo sapiens	four jointed box 1 (Drosophila)
BET1L	51272	Homo sapiens	blocked early in transport 1 homolog (S. cerevisiae)-like
SLC36A4	120103	Homo sapiens	solute carrier family 36 (proton/amino acid symporter), member 4
GTPBP10	85865	Homo sapiens	GTP-binding protein 10 (putative)
GOT1L1	137362	Homo sapiens	glutamic-oxaloacetic transaminase 1-like 1
ZFYVE9	9372	Homo sapiens	zinc finger, FYVE domain containing 9
MGC45922	284365	Homo sapiens	hypothetical LOC284365
LOC613126	613126	Homo sapiens	hypothetical protein LOC613126
EPSTI1	94240	Homo sapiens	epithelial stromal interaction 1 (breast)
DYNC1H1	1778	Homo sapiens	dynein, cytoplasmic 1, heavy chain 1
ZFYVE1	53349	Homo sapiens	zinc finger, FYVE domain containing 1
DYNC1I1	1780	Homo sapiens	dynein, cytoplasmic 1, intermediate chain 1
KCNMA1	3778	Homo sapiens	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
LOC283588	283588	Homo sapiens	hypothetical LOC283588
RPH3AL	9501	Homo sapiens	rabphilin 3A-like (without C2 domains)
LOC283585	283585	Homo sapiens	hypothetical LOC283585
CBR4	84869	Homo sapiens	carbonyl reductase 4
CBR3	874	Homo sapiens	carbonyl reductase 3
CHMP1A	5119	Homo sapiens	chromatin modifying protein 1A
CHMP1B	57132	Homo sapiens	chromatin modifying protein 1B
LOC645355	645355	Homo sapiens	hypothetical LOC645355
NMI	9111	Homo sapiens	N-myc (and STAT) interactor
NMB	4828	Homo sapiens	neuromedin B
SUFU	51684	Homo sapiens	suppressor of fused homolog (Drosophila)
BEST4	266675	Homo sapiens	bestrophin 4
BEST2	54831	Homo sapiens	bestrophin 2
BEST3	144453	Homo sapiens	bestrophin 3
CBR1	873	Homo sapiens	carbonyl reductase 1
BEST1	7439	Homo sapiens	bestrophin 1
NMU	10874	Homo sapiens	neuromedin U
NLK	51701	Homo sapiens	nemo-like kinase
EIF2B1	1967	Homo sapiens	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa
INMT	11185	Homo sapiens	indolethylamine N-methyltransferase
DNPEP	23549	Homo sapiens	aspartyl aminopeptidase
DRAM2	128338	Homo sapiens	DNA-damage regulated autophagy modulator 2
NLN	57486	Homo sapiens	neurolysin (metallopeptidase M3 family)
KPTN	11133	Homo sapiens	kaptin (actin binding protein)
DRAM1	55332	Homo sapiens	DNA-damage regulated autophagy modulator 1
CHMP4C	92421	Homo sapiens	chromatin modifying protein 4C
CHMP4B	128866	Homo sapiens	chromatin modifying protein 4B
LMAN2L	81562	Homo sapiens	lectin, mannose-binding 2-like
CHMP4A	29082	Homo sapiens	chromatin modifying protein 4A
CBX4	8535	Homo sapiens	chromobox homolog 4 (Pc class homolog, Drosophila)
CBX3	644101	Homo sapiens	similar to chromobox homolog 3; chromobox homolog 3 (HP1 gamma homolog, Drosophila)
CBX3	11335	Homo sapiens	similar to chromobox homolog 3; chromobox homolog 3 (HP1 gamma homolog, Drosophila)
CBX2	84733	Homo sapiens	chromobox homolog 2 (Pc class homolog, Drosophila)
CBX8	57332	Homo sapiens	chromobox homolog 8 (Pc class homolog, Drosophila)
CBX7	23492	Homo sapiens	chromobox homolog 7
CBX6	23466	Homo sapiens	chromobox homolog 6
INE1	8552	Homo sapiens	inactivation escape 1 (non-protein coding)
CBX5	23468	Homo sapiens	chromobox homolog 5 (HP1 alpha homolog, Drosophila)
MUTYH	4595	Homo sapiens	mutY homolog (E. coli)
CGGBP1	8545	Homo sapiens	CGG triplet repeat binding protein 1
POU5F1P4	645682	Homo sapiens	POU class 5 homeobox 1 pseudogene 4
POU5F1P3	642559	Homo sapiens	POU class 5 homeobox 1 pseudogene 3
NUDT16P1	152195	Homo sapiens	nudix (nucleoside diphosphate linked moiety X)-type motif 16 pseudogene
NVL	4931	Homo sapiens	nuclear VCP-like
SUZ12	23512	Homo sapiens	suppressor of zeste 12 homolog (Drosophila)
CELF6	60677	Homo sapiens	bruno-like 6, RNA binding protein (Drosophila)
CELF5	60680	Homo sapiens	bruno-like 5, RNA binding protein (Drosophila)
CELF4	56853	Homo sapiens	bruno-like 4, RNA binding protein (Drosophila)
CELF3	11189	Homo sapiens	trinucleotide repeat containing 4
SDCBP	6386	Homo sapiens	syndecan binding protein (syntenin)
CELF2	10659	Homo sapiens	CUG triplet repeat, RNA binding protein 2
CELF1	10658	Homo sapiens	CUG triplet repeat, RNA binding protein 1
LOC283547	283547	Homo sapiens	hypothetical protein LOC283547
CHMP2A	27243	Homo sapiens	chromatin modifying protein 2A
PAQR6	79957	Homo sapiens	progestin and adipoQ receptor family member VI
PAQR7	164091	Homo sapiens	progestin and adipoQ receptor family member VII
PAQR8	85315	Homo sapiens	progestin and adipoQ receptor family member VIII
PAQR9	344838	Homo sapiens	progestin and adipoQ receptor family member IX
PAQR3	152559	Homo sapiens	progestin and adipoQ receptor family member III
CASD1	64921	Homo sapiens	CAS1 domain containing 1
PAQR4	124222	Homo sapiens	progestin and adipoQ receptor family member IV
PAQR5	54852	Homo sapiens	progestin and adipoQ receptor family member V
CHMP2B	25978	Homo sapiens	chromatin modifying protein 2B
ERO1L	30001	Homo sapiens	ERO1-like (S. cerevisiae)
NYX	60506	Homo sapiens	nyctalopin
HAVCR2	84868	Homo sapiens	hepatitis A virus cellular receptor 2
DAND5	199699	Homo sapiens	DAN domain family, member 5
LMAN1L	79748	Homo sapiens	lectin, mannose-binding, 1 like
RABIF	5877	Homo sapiens	RAB interacting factor
CASC4	113201	Homo sapiens	cancer susceptibility candidate 4
CASC5	57082	Homo sapiens	cancer susceptibility candidate 5
FN3KRP	79672	Homo sapiens	fructosamine 3 kinase related protein
CASC2	255082	Homo sapiens	cancer susceptibility candidate 2
ENDOD1	23052	Homo sapiens	endonuclease domain containing 1
CASC3	22794	Homo sapiens	cancer susceptibility candidate 3
CASC1	55259	Homo sapiens	cancer susceptibility candidate 1
ATF7IP2	80063	Homo sapiens	activating transcription factor 7 interacting protein 2
NXN	64359	Homo sapiens	nucleoredoxin
ASNA1	439	Homo sapiens	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)
HLCS	3141	Homo sapiens	holocarboxylase synthetase (biotin-(proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)) ligase)
NUDT16L1	84309	Homo sapiens	nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1
SV2B	100128403	Homo sapiens	synaptic vesicle glycoprotein 2B; hypothetical protein LOC100128403
